src,dest,weight
1,2,2
1,46,3
2,4,1
4,5,1
4,6,1
5,11,1
6,7,1
7,8,1
8,9,3
9,10,2
9,15,3
9,16,3
9,51,4
10,11,1
11,12,1
11,14,1
12,39,2
14,29,1
15,16,1
15,18,1
15,29,3
16,17,1
17,151,1
17,171,1
18,19,1
18,21,1
18,22,1
18,24,1
19,20,1
20,21,1
22,23,1
23,24,1
24,25,1
25,28,1
26,27,1
27,28,1
28,29,1
29,30,3
30,31,1
30,32,1
32,33,1
32,37,1
33,34,3
34,35,1
34,41,3
35,36,1
36,37,1
36,38,1
36,40,1
38,39,1
40,44,1
41,42,1
42,43,1
43,44,1
44,45,1
45,46,1
51,52,1
51,60,1
52,53,1
53,54,1
53,59,1
54,55,1
55,56,1
55,57,1
57,58,1
58,59,1
59,63,1
59,60,1
60,61,1
61,62,1
62,63,1
63,64,1
64,65,1
65,66,1
